time [hours], national grid [W], fixed load [W], variable load [W], PV [W] 
0 , 3022.34 , 3022.34 , 0 , 0
0.5 , 2803.59 , 2803.59 , 0 , 0
1 , 2579.75 , 2579.75 , 0 , 0
1.5 , 2367.08 , 2367.08 , 0 , 0
2 , 2249.02 , 2249.02 , 0 , 0
2.5 , 4646.01 , 2128.08 , 2517.93 , 0
3 , 4537.09 , 2019.16 , 2517.93 , 0
3.5 , 4458.13 , 1940.2 , 2517.93 , 0
4 , 4390.41 , 1872.48 , 2517.93 , 0
4.5 , 4335.8 , 1817.87 , 2517.93 , 0
5 , 4336.91 , 1818.98 , 2517.93 , 0
5.5 , 4325.22 , 1807.29 , 2517.93 , 0
6 , 4311.38 , 1793.45 , 2517.93 , 0
6.5 , 4357.16 , 1843.62 , 2517.93 , 4.38768
7 , 4418.24 , 1904.69 , 2517.93 , 4.38768
7.5 , 4427.77 , 2019.23 , 2517.93 , 109.392
8 , 4579.45 , 2170.91 , 2517.93 , 109.392
8.5 , 2107.35 , 2371.98 , 0 , 264.627
9 , 2376.1 , 2640.72 , 0 , 264.627
9.5 , 2381.81 , 2892.26 , 0 , 510.449
10 , 2591.85 , 3102.3 , 0 , 510.449
10.5 , 2156.19 , 3309.57 , 0 , 1153.38
11 , 2354.83 , 3508.22 , 0 , 1153.38
11.5 , 2248.93 , 3701.8 , 0 , 1452.87
12 , 2335.07 , 3787.94 , 0 , 1452.87
12.5 , 1356.81 , 3756.36 , 0 , 2399.55
13 , 1185.28 , 3584.83 , 0 , 2399.55
13.5 , 2082.24 , 3317.47 , 0 , 1235.23
14 , 1925.5 , 3160.73 , 0 , 1235.23
14.5 , 1167.33 , 3067.77 , 0 , 1900.45
15 , 1105.46 , 3005.9 , 0 , 1900.45
15.5 , 1235.99 , 2939.88 , 0 , 1703.89
16 , 1172.99 , 2876.88 , 0 , 1703.89
16.5 , 1711.49 , 2860.24 , 0 , 1148.75
17 , 1750.53 , 2899.28 , 0 , 1148.75
17.5 , 2452.64 , 2984.74 , 0 , 532.094
18 , 2607.8 , 3139.9 , 0 , 532.094
18.5 , 3389.9 , 3450.21 , 0 , 60.3139
19 , 3798.27 , 3858.59 , 0 , 60.3139
19.5 , 4102.71 , 4102.71 , 0 , 0
20 , 4255.44 , 4255.44 , 0 , 0
20.5 , 4263.73 , 4263.73 , 0 , 0
21 , 4192.99 , 4192.99 , 0 , 0
21.5 , 4097.72 , 4097.72 , 0 , 0
22 , 3971.15 , 3971.15 , 0 , 0
22.5 , 3784.1 , 3784.1 , 0 , 0
23 , 3507.33 , 3507.33 , 0 , 0
23.5 , 3186.18 , 3186.18 , 0 , 0
